Model Name,Test Accuracy (%),Test AUC Score,Test Precision (%),Test Recall (%)
EfficientNetB0 (Standalone),79.05604839324951,0.8630207180976868,76.12612843513489,90.3743326663971
DenseNet121 (Standalone),74.631267786026,0.8376723527908325,71.129709482193,90.90909361839294
Hybrid Fusion (EffNet + DenseNet),76.4011800289154,0.8490711450576782,73.77777695655823,88.77005577087402
